OBJECTID,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,POINT_X,POINT_Y
1271,7458.0,"35TH STREET","WASHTENAW","EB","NS","35","","CHICAGO",1,"35th Street & Washtenaw",-87.692488,41.830076
1272,10970.0,"DIVERSEY","NORMANDY","EB","NS","76","","CHICAGO",1,"Diversey & Normandy",-87.793133,41.930849
1273,10910.0,"74TH STREET","WOOD","EB","NT","75","","CHICAGO",1,"74th Street & Wood",-87.668539,41.75931
1274,2962.0,"COTTAGE GROVE","11000 SOUTH","NB","MB","4,115","","CHICAGO",1,"11000 S Cottage Grove",-87.609317,41.694642
1275,10550.0,"MORGAN DRIVE","RUSSELL DRIVE","EB","NS","55","N55","CHICAGO",1,"Morgan Drive & Russell Drive",-87.61327329,41.79362601
1276,6938.0,"CERMAK","LAFLIN","EB","NS","21,60","","CHICAGO",1,"Cermak & Laflin",-87.66378715,41.8523065
1277,9959.0,"115TH STREET","ST. LOUIS","EB","NS","52A","","CHICAGO",1,"115th Street & St. Louis",-87.70797686,41.68408865
1278,12442.0,"119TH STREET","MARSHFIELD","EB","NS","119","","CALUMET PARK",1,"119th Street & Marshfield",-87.66266599,41.67741681
1279,1635.0,"51ST STREET","EVANS","EB","NT","15","","CHICAGO",1,"51st Street & Evans",-87.607908,41.802158
1280,12404.0,"111TH STREET","HOYNE","EB","NS","112","","CHICAGO",1,"111th Street & Hoyne",-87.674243,41.69183
1281,11944.0,"93RD STREET","YATES","EB","NS","N5,95","N5","CHICAGO",1,"93rd Street & Yates",-87.565782,41.72619
1282,6948.0,"CERMAK","UNION","EB","NS","21","","CHICAGO",1,"Cermak & Union",-87.64485014,41.85259703
1283,151.0,"JACKSON","MENARD","WB","FS","126","","CHICAGO",1,"Jackson & Menard",-87.76974453,41.8771099
1284,834.0,"GRAND","MEADE","WB","NS","65","","CHICAGO",1,"Grand & Meade",-87.77797234,41.92105671
1285,12278.0,"103RD STREET","1100 EAST RR CROSSING","WB","MB","106","","CHICAGO",1,"1100 E 103rd Street",-87.59593336,41.70767682
1286,233.0,"CONGRESS","3700 WEST","WB","MB","7,126","","CHICAGO",1,"3700 W Congress",-87.71790509,41.87452996
1287,4549.0,"55TH STREET","MAYFIELD","WB","MT","55A,55N","","CHICAGO",1,"55th Street & Mayfield",-87.76968128,41.79263092
1288,4804.0,"FOSTER","WOLCOTT","WB","NS","50,92","","CHICAGO",1,"Foster & Wolcott",-87.67623628,41.97613067
1289,9361.0,"BELMONT","PLAINFIELD","WB","NS","77","","CHICAGO",1,"Belmont & Plainfield",-87.83354342,41.93766067
1290,15461.0,"LAWRENCE","KENMORE","WB","FS","81","","CHICAGO",1,"Lawrence & Kenmore",-87.65654203,41.9691222
1291,15390.0,"ARMITAGE","ROCKWELL","WB","NT","73","","CHICAGO",1,"Armitage & Rockwell",-87.69217103,41.91759221
1292,9460.0,"87TH STREET","ESSEX","WB","NS","87","","CHICAGO",1,"87th Street & Essex",-87.563413,41.737278
1293,11420.0,"MONTROSE","NARRAGANSETT","WB","FS","78","","HARWOOD HEIGHTS",1,"Montrose & Narragansett",-87.78695946,41.96031082
1294,3288.0,"63RD STREET","LOREL","WB","NT","63W","","CHICAGO",1,"63rd Street & Lorel",-87.75551379,41.77822634
1295,12610.0,"ADDISON","MOBILE","WB","NS","152","","CHICAGO",1,"Addison & Mobile",-87.7837273,41.94575258
1296,1269.0,"FULLERTON","LECLAIRE","WB","NS","74","","CHICAGO",1,"Fullerton & Leclaire",-87.75351124,41.92421811
1297,13088.0,"59TH STREET","SPRINGFIELD","WB","NS","59","","CHICAGO",1,"59th Street & Springfield",-87.72039778,41.78604699
1298,12021.0,"95TH STREET","1500 EAST (BLACKSTONE)","WB","NS","N5,95,100","N5","CHICAGO",1,"1500 E 95th Street",-87.5878462,41.72237378
1299,14351.0,"OAKTON","FLORENCE","WB","NS","206","","EVANSTON",2,"Oakton & Florence",-87.69451976,42.02668154
1300,4926.0,"IRVING PARK","PINE GROVE","EB","FS","80,135,148","","CHICAGO",1,"Irving Park & Pine Grove",-87.647704,41.954531
1301,14778.0,"87TH STREET","RACINE","EB","FS","24,87","N87","CHICAGO",1,"87th Street & Racine",-87.65304585,41.73584412
1302,5638.0,"IRVING PARK","PULASKI","EB","NS","80","N53","CHICAGO",1,"Irving Park & Pulaski",-87.72778702,41.9535518
1303,17656.0,"STONY ISLAND","68TH STREET","SB","FS","28","","CHICAGO",1,"Stony Island & 68th Street",-87.58638862,41.77138715
1304,15126.0,"LEXINGTON","LARAMIE","EB","FS","57","","CHICAGO",1,"Lexington & Laramie",-87.75461207,41.87094982
1305,2533.0,"35TH STREET","KING DRIVE","EB","FS","4,35","","CHICAGO",1,"35th Street & King Drive",-87.61675904,41.83104532
1306,409.0,"MADISON","PULASKI","EB","NS","20","N20","CHICAGO",1,"Madison & Pulaski",-87.72582347,41.88061422
1307,40.0,"JACKSON","LEAVITT","EB","FS","126","","CHICAGO",1,"Jackson & Leavitt",-87.68127094,41.87754396
1308,9399.0,"87TH STREET","VINCENNES","EB","NS","24,87","N87","CHICAGO",1,"87th Street & Vincennes",-87.64544503,41.73594682
1309,5664.0,"IRVING PARK","ASHLAND","EB","NS","80","","CHICAGO",1,"Irving Park & Ashland",-87.66925596,41.95418344
1310,6747.0,"16TH STREET","HOMAN","EB","NS","18","","CHICAGO",1,"16th Street & Homan",-87.710437,41.85897
1311,686.0,"GRAND","LONG","EB","NS","65","","CHICAGO",1,"Grand & Long",-87.7609681,41.91780507
1312,12480.0,"ADDISON","SAYRE","EB","FT","152","","CHICAGO",1,"Addison & Sayre",-87.800767,41.945321
1313,4042.0,"ARMITAGE","HAMLIN","EB","NS","73","","CHICAGO",1,"Armitage & Hamlin",-87.72173498,41.9171139
1314,3410.0,"63RD STREET","WOOD","EB","FS","63","N63","CHICAGO",1,"63rd Street & Wood",-87.668824,41.779297
1315,17193.0,"DEVON","SACRAMENTO","EB","FS","155","","CHICAGO",1,"Devon & Sacramento",-87.70432002,41.99741686
1316,17194.0,"DEVON","ROCKWELL","EB","FS","155","","CHICAGO",1,"Devon & Rockwell",-87.69457438,41.99759701
1317,17196.0,"DEVON","RIDGE","EB","FS","155","","CHICAGO",1,"Devon & Ridge",-87.67655852,41.99789479
1318,17143.0,"47TH STREET","ELLIS","EB","FS","47","","CHICAGO",1,"47th Street & Ellis",-87.60150348,41.80951359
1319,17251.0,"LAWRENCE","ROCKWELL","EB","FS","81","N81","CHICAGO",1,"Lawrence & Rockwell",-87.69355012,41.96850746
1320,10908.0,"74TH STREET","DAMEN","EB","FS","75,94","","CHICAGO",1,"74th Street & Damen",-87.67320142,41.75927254
1321,2895.0,"111TH STREET","COTTAGE GROVE","EB","FS","111A","","CHICAGO",1,"111th Street & Cottage Grove",-87.60929577,41.69269946
1322,1880.0,"DEARBORN","ADAMS","NB","FS","22,24,36,62,151","N22,N62","CHICAGO",1,"Dearborn & Adams",-87.62924766,41.87956079
1323,5066.0,"RACINE","63RD STREET","NB","NS","44","","CHICAGO",1,"Racine & 63rd Street",-87.654408,41.779499
1324,297.0,"ROOSEVELT","WOOD","EB","NS","12","","CHICAGO",1,"Roosevelt & Wood",-87.67146821,41.86664343
1325,15266.0,"63RD STREET","KOSTNER","EB","FS","63","N63","CHICAGO",1,"63rd Street & Kostner",-87.73214155,41.77848535
1326,198.0,"HARRISON","RACINE","EB","NS","7, 755","","CHICAGO",1,"Harrison & Racine",-87.657167,41.874191
1327,14838.0,"HARRISON","KEDZIE","EB","FS","7","","CHICAGO",1,"Harrison & Kedzie",-87.70579199,41.87361269
1328,14852.0,"STATE","26TH STREET","NB","FS","29","","CHICAGO",1,"State & 26th Street",-87.62671398,41.84579551
1329,14816.0,"KEDZIE","63RD STREET","NB","FS","52,52A","","CHICAGO",1,"Kedzie & 63rd Street",-87.70304976,41.77913982
1330,3642.0,"HALSTED","114TH STREET","NB","NS","8A,108","","CHICAGO",1,"Halsted & 114th Street",-87.642092,41.68677
1331,3434.0,"63RD STREET","MICHIGAN","EB","NT","63","N63","CHICAGO",1,"63rd Street & Michigan",-87.62227473,41.77997097
1332,11030.0,"DIVERSEY","HALSTED","EB","FS","76","","CHICAGO",1,"Diversey & Halsted",-87.64875095,41.93266291
1333,15210.0,"63RD STREET","WESTERN","EB","FS","63","N63","CHICAGO",1,"63rd Street & Western",-87.68316127,41.77908454
1334,14551.0,"IRVING PARK","CALIFORNIA","EB","FS","80","","CHICAGO",1,"Irving Park & California",-87.69802532,41.95387539
1335,3826.0,"LARAMIE","BLOOMINGDALE","SB","NS","57","","CHICAGO",1,"Laramie & Bloomingdale",-87.755838,41.913231
1336,1036.0,"SHERIDAN","ARDMORE","SB","NS","136,147,151","","CHICAGO",1,"Sheridan & Ardmore",-87.65537893,41.9874587
1337,7188.0,"STONY ISLAND","73RD STREET","SB","NS","28","","CHICAGO",1,"Stony Island & 73rd Street",-87.58634125,41.76250534
1338,4607.0,"CICERO","ARCHER","SB","FS","47,54B,N62","N62","CHICAGO",1,"Cicero & Archer",-87.74305748,41.79829161
1339,15347.0,"HALSTED","CHICAGO","SB","FS","8","","CHICAGO",1,"Halsted & Chicago",-87.64784752,41.89609584
1340,15216.0,"MILWAUKEE","CENTRAL PARK","NWB","FS","56","","CHICAGO",1,"Milwaukee & Central Park",-87.71773277,41.93546421
1341,9029.0,"PULASKI","FERDINAND","SB","FT","53","N53","CHICAGO",1,"Pulaski & Ferdinand",-87.72601487,41.88978544
1342,2405.0,"STATE","41ST STREET","SB","NT","29","","CHICAGO",1,"State & 41st Street",-87.62649871,41.82023524
1343,7804.0,"ARCHER","PERSHING/ROCKWELL","NEB","FS","39,62","N62","CHICAGO",1,"Archer & Pershing/Rockwell",-87.68943887,41.82307734
1344,11779.0,"HARLEM","ADDISON","SB","NS","90","","CHICAGO",1,"Harlem & Addison",-87.80710434,41.94541159
1345,11783.0,"HARLEM","BELMONT","SB","NS","90","","CHICAGO",1,"Harlem & Belmont",-87.8068454,41.93816697
1346,14768.0,"STATE","PERSHING","SB","FS","29","","CHICAGO",1,"State & Pershing",-87.62656454,41.82352538
1347,1200.0,"SHERIDAN 6400N","KENMORE","WB","NS","136,147,151","","CHICAGO",1,"Sheridan & Kenmore",-87.65693556,41.99833161
1348,12207.0,"103RD STREET","CENTRAL PARK","WB","NS","103","","EVERGREEN PARK",1,"103rd Street & Central Park",-87.71092642,41.70616319
1349,15181.0,"35TH STREET","WESTERN","WB","NS","35","","CHICAGO",1,"35th Street & Western",-87.68488707,41.83035628
1350,6884.0,"CERMAK","HAMLIN","WB","NS","21","","CHICAGO",1,"Cermak & Hamlin",-87.71976342,41.85168191
1351,12026.0,"93RD STREET","WOODLAWN","WB","FS","N5,95","N5","CHICAGO",1,"93rd Street & Woodlawn",-87.59513017,41.72590281
1352,7994.0,"43RD STREET","ELLIS","WB","NS","43","","CHICAGO",1,"43rd Street & Ellis",-87.60166414,41.81693554
1353,10586.0,"GARFIELD","STATE","WB","FS","55","N55","CHICAGO",1,"Garfield & State",-87.6260843,41.794699
1354,80.0,"ADAMS","WELLS","WB","FS","1,7,28,126,130,134,135,136,151,156","","CHICAGO",1,"Adams & Wells",-87.634024,41.879426
1355,14205.0,"TAYLOR","DAMEN","WB","FS","12","","CHICAGO",1,"Taylor & Damen",-87.67683282,41.86916072
1356,7151.0,"47TH STREET","VINCENNES","WB","NS","47","","CHICAGO",1,"47th Street & Vincennes",-87.61371686,41.80949998
1357,2093.0,"DIVISION","LAVERGNE","WB","NS","70","","CHICAGO",1,"Division & Lavergne",-87.75075855,41.90235842
1358,218.0,"HARRISON","OAKLEY","WB","NS","7","","CHICAGO",1,"Harrison & Oakley",-87.68358895,41.87398752
1359,3248.0,"63RD STREET","WOOD","WB","NS","63","N63","CHICAGO",1,"63rd Street & Wood",-87.66888622,41.77946557
1360,1823.0,"CLARK","ADDISON","SB","NS","22","N22","CHICAGO",1,"Clark & Addison",-87.65674987,41.94735395
1361,1873.0,"CLARK","HARRISON","SB","NS","24","","CHICAGO",1,"Clark & Harrison",-87.630744,41.874639
1362,1848.0,"CLARK","SCHILLER","SB","NS","22,36","N22","CHICAGO",1,"Clark & Schiller",-87.631665,41.907937
1363,5229.0,"JEFFERY","87TH STREET","SB","FS","J14,15","","CHICAGO",1,"Jeffery & 87th Street",-87.57580477,41.73687335
